"name","synonym"
"barry manilow","barry manilow"
"ace hood","ace hood"
"america","america"
"greta van fleet","greta van fleet"
"father john misty","father john misty"
"rita ora","rita ora"
"shaggy","shaggy"
"lou reed","lou reed"
"bread","bread"
"nick drake","nick drake"
"carole king","carole king"
"chris young","chris young"
"lily allen","lily allen"
"the jam","the jam"
"ricky martin","ricky martin"
"mika","mika"
"amos lee","amos lee"
"faith no more","faith no more"
"boston","boston"
"bright eyes","bright eyes"
"stereophonics","stereophonics"
"iron wine","iron wine"
"foreigner","foreigner"
"cheap trick","cheap trick"
"the drums","the drums"
"hollywood undead","hollywood undead"
"joy division","joy division"
"cali y el dandee","cali y el dandee"
"tony dize","tony dize"
"wild cherry","wild cherry"
"simple plan","simple plan"
"travis","travis"
"the cult","the cult"
"the corrs","the corrs"
"pixies","pixies"
"inxs","inxs"
"roy orbison","roy orbison"
"duffy","duffy"
"the head and the heart","the head and the heart"
"wilco","wilco"
"tenacious d","tenacious d"
"david guetta","david guetta"
"booker t the mgs","booker t the mgs"
"def leppard","def leppard"
"the hives","the hives"
"enrique iglesias","enrique iglesias"
"mike oldfield","mike oldfield"
"vince staples","vince staples"
"wolfmother","wolfmother"
"george strait","george strait"
"godsmack","godsmack"
"sigala","sigala"
"gary moore","gary moore"
"portishead","portishead"
"keith urban","keith urban"
"mudvayne","mudvayne"
"yeah yeah yeahs","yeah yeah yeahs"
"joan jett the blackhearts","joan jett the blackhearts"
"super junior","super junior"
"keri hilson","keri hilson"
"killswitch engage","killswitch engage"
"the las","the las"
"eddie vedder","eddie vedder"
"gusttavo lima","gusttavo lima"
"iza","iza"
"sarah mclachlan","sarah mclachlan"
"hanson","hanson"
"gabriela rocha","gabriela rocha"
"tina turner","tina turner"
"deftones","deftones"
"sleeping with sirens","sleeping with sirens"
"janet jackson","janet jackson"
"barry white","barry white"
"nicky jam","nicky jam"
"bullet for my valentine","bullet for my valentine"
"war","war"
"the naked and famous","the naked and famous"
"austin mahone","austin mahone"
"ted nugent","ted nugent"
"foals","foals"
"seventeen","seventeen"
"the band perry","the band perry"
"john legend","john legend"
"damian marley","damian marley"
"the fratellis","the fratellis"
"mumuzinho","mumuzinho"
"jerry lee lewis","jerry lee lewis"
"james morrison","james morrison"
"ray j","ray j"
"staind","staind"
"digga d","digga d"
"meredith brooks","meredith brooks"
"michelle branch","michelle branch"
"toni braxton","toni braxton"
"djavan","djavan"
"kris kross","kris kross"
"skid row","skid row"
"nick cave the bad seeds","nick cave the bad seeds"
"elijah who","elijah who"
"hole","hole"
"mc livinho","mc livinho"
"shinedown","shinedown"
"leonard cohen","leonard cohen"
"thirty seconds to mars","thirty seconds to mars"
"natalia lafourcade","natalia lafourcade"
"tiago iorc","tiago iorc"
"projota","projota"
"diana ross","diana ross"
"everclear","everclear"
"mike the mechanics","mike the mechanics"
"placebo","placebo"
"cher lloyd","cher lloyd"
"theory of a deadman","theory of a deadman"
"phoenix","phoenix"
"wiz khalifa","wiz khalifa"
"calle 13","calle 13"
"kaiser chiefs","kaiser chiefs"
"desree","desree"
"steve earle","steve earle"
"jimmy cliff","jimmy cliff"
"blur","blur"
"janes addiction","janes addiction"
"ciara","ciara"
"bombay bicycle club","bombay bicycle club"
"a day to remember","a day to remember"
"311","311"
"new found glory","new found glory"
"kasabian","kasabian"
"zendaya","zendaya"
"jamiroquai","jamiroquai"
"damien rice","damien rice"
"chris tomlin","chris tomlin"
"madness","madness"
"nine inch nails","nine inch nails"
"nas","nas"
"flyleaf","flyleaf"
"dragonforce","dragonforce"
"chance the rapper","chance the rapper"
"faith hill","faith hill"
"gigi dagostino","gigi dagostino"
"turma do pagode","turma do pagode"
"jewel","jewel"
"deep purple","deep purple"
"ivy queen","ivy queen"
"armin van buuren","armin van buuren"
"elvis costello","elvis costello"
"candi staton","candi staton"
"dio","dio"
"filipe ret","filipe ret"
"alter bridge","alter bridge"
"ricky nelson","ricky nelson"
"joan osborne","joan osborne"
"santana","santana"
"billie holiday","billie holiday"
"adam lambert","adam lambert"
"pixote","pixote"
"big time rush","big time rush"
"sugababes","sugababes"
"bobby womack","bobby womack"
"the band","the band"
"baby rasta gringo","baby rasta gringo"
"cameo","cameo"
"motionless in white","motionless in white"
"brad paisley","brad paisley"
"coheed and cambria","coheed and cambria"
"flow","flow"
"little richard","little richard"
"klaxons","klaxons"
"the cab","the cab"
"charlie brown jr","charlie brown jr"
"air supply","air supply"
"james","james"
"the national","the national"
"racionais mcs","racionais mcs"
"goldfinger","goldfinger"
"armandinho","armandinho"
"bush","bush"
"in this moment","in this moment"
"the verve","the verve"
"ray lamontagne","ray lamontagne"
"eamon","eamon"
"twista","twista"
"interpol","interpol"
"velvet revolver","velvet revolver"
"anderson freire","anderson freire"
"ludacris","ludacris"
"ziggy marley","ziggy marley"
"tribo da periferia","tribo da periferia"
"devo","devo"
"dionne warwick","dionne warwick"
"chic","chic"
"donna summer","donna summer"
"phil collins","phil collins"
"neil sedaka","neil sedaka"
"alexis y fido","alexis y fido"
"billy ray cyrus","billy ray cyrus"
"dj snake","dj snake"
"stone temple pilots","stone temple pilots"
"living colour","living colour"
"james taylor","james taylor"
"elbow","elbow"
"karmin","karmin"
"tony bennett","tony bennett"
"aaliyah","aaliyah"
"swedish house mafia","swedish house mafia"
"relient k","relient k"
"elliott smith","elliott smith"
"sam cooke","sam cooke"
"fergie","fergie"
"enigma","enigma"
"2ne1","2ne1"
"the jesus and mary chain","the jesus and mary chain"
"the war on drugs","the war on drugs"
"the byrds","the byrds"
"miike snow","miike snow"
"seal","seal"
"pitty","pitty"
"boys like girls","boys like girls"
"all that remains","all that remains"
"zeca baleiro","zeca baleiro"
"buddy holly","buddy holly"
"alexandra stan","alexandra stan"
"jethro tull","jethro tull"
"the vaccines","the vaccines"
"aline barros","aline barros"
"ray charles","ray charles"
"soulja boy","soulja boy"
"chimarruts","chimarruts"
"lcd soundsystem","lcd soundsystem"
"robyn","robyn"
"bloc party","bloc party"
"maskavo","maskavo"
"jake bugg","jake bugg"
"augustana","augustana"
"paulina rubio","paulina rubio"
"the veronicas","the veronicas"
"ll cool j","ll cool j"
"lulu santos","lulu santos"
"silverchair","silverchair"
"escape the fate","escape the fate"
"digital underground","digital underground"
"gregory isaacs","gregory isaacs"
"blue","blue"
"snap","snap"
"fugazi","fugazi"
"alabama","alabama"
"lasgo","lasgo"
"take that","take that"
"spoon","spoon"
"klaas","klaas"
"slum village","slum village"
"jota quest","jota quest"
"lamb of god","lamb of god"
"pharrell williams","pharrell williams"
"belinda","belinda"
"muddy waters","muddy waters"
"the clash","the clash"
"death cab for cutie","death cab for cutie"
"otis redding","otis redding"
"sara evans","sara evans"
"lagum","lagum"
"black veil brides","black veil brides"
"quiet riot","quiet riot"
"ov7","ov7"
"adriana partimpim","adriana partimpim"
"skank","skank"
"poison","poison"
"temple of the dog","temple of the dog"
"eddie cochran","eddie cochran"
"lykke li","lykke li"
"tiziano ferro","tiziano ferro"
"martin garrix","martin garrix"
"berlin","berlin"
"jennifer hudson","jennifer hudson"
"fleet foxes","fleet foxes"
"amon amarth","amon amarth"
"parov stelar","parov stelar"
"vico c","vico c"
"cheryl","cheryl"
"rancid","rancid"
"ben harper","ben harper"
"slightly stoopid","slightly stoopid"
"van halen","van halen"
"billy paul","billy paul"
"leoni","leoni"
"erasure","erasure"
"fatboy slim","fatboy slim"
"slayer","slayer"
"chet baker","chet baker"
"paula abdul","paula abdul"
"fastball","fastball"
"spandau ballet","spandau ballet"
"millencolin","millencolin"
"lenine","lenine"
"seu jorge","seu jorge"
"helloween","helloween"
"supertramp","supertramp"
"mano walter","mano walter"
"pennywise","pennywise"
"kings of convenience","kings of convenience"
"wolf alice","wolf alice"
"luan santana","luan santana"
"kylie minogue","kylie minogue"
"groove armada","groove armada"
"khaled","khaled"
"nate dogg","nate dogg"
"onze20","onze20"
"elis regina","elis regina"
"xzibit","xzibit"
"eagles","eagles"
"cinderella","cinderella"
"hoodie allen","hoodie allen"
"brenda lee","brenda lee"
"era","era"
"george harrison","george harrison"
"girls generation","girls generation"
"flobots","flobots"
"dr dre","dr dre"
"the beatles","the beatles"
"editors","editors"
"anberlin","anberlin"
"carla bruni","carla bruni"
"the maccabees","the maccabees"
"the isley brothers","the isley brothers"
"cypress hill","cypress hill"
"asking alexandria","asking alexandria"
"the brothers johnson","the brothers johnson"
"regina spektor","regina spektor"
"janis joplin","janis joplin"
"iggy azalea","iggy azalea"
"cat power","cat power"
"vangelis","vangelis"
"new kids on the block","new kids on the block"
"one ok rock","one ok rock"
"alanis morissette","alanis morissette"
"natalie merchant","natalie merchant"
"rebelution","rebelution"
"raul seixas","raul seixas"
"joss stone","joss stone"
"black label society","black label society"
"josh groban","josh groban"
"dashboard confessional","dashboard confessional"
"jordin sparks","jordin sparks"
"r kelly","r kelly"
"first aid kit","first aid kit"
"village people","village people"
"fiona apple","fiona apple"
"blossoms","blossoms"
"public enemy","public enemy"
"serj tankian","serj tankian"
"andy mineo","andy mineo"
"zona ganjah","zona ganjah"
"beirut","beirut"
"boyce avenue","boyce avenue"
"cazuza","cazuza"
"the vines","the vines"
"hot chip","hot chip"
"marisa monte","marisa monte"
"bruna karla","bruna karla"
"tinie tempah","tinie tempah"
"dream theater","dream theater"
"the ready set","the ready set"
"a flock of seagulls","a flock of seagulls"
"don henley","don henley"
"martina mcbride","martina mcbride"
"sex pistols","sex pistols"
"falamansa","falamansa"
"digable planets","digable planets"
"the specials","the specials"
"maneva","maneva"
"bb king","bb king"
"wilson pickett","wilson pickett"
"yael naim","yael naim"
"sylvester","sylvester"
"claudinho buchecha","claudinho buchecha"
"anthrax","anthrax"
"mcfly","mcfly"
"michael bolton","michael bolton"
"atlas genius","atlas genius"
"kate nash","kate nash"
"the pretty reckless","the pretty reckless"
"daughtry","daughtry"
"fats domino","fats domino"
"ritchie valens","ritchie valens"
"still corners","still corners"
"ja rule","ja rule"
"the church","the church"
"frejat","frejat"
"onyx","onyx"
"roberto carlos","roberto carlos"
"renato russo","renato russo"
"eduardo costa","eduardo costa"
"casting crowns","casting crowns"
"geri halliwell","geri halliwell"
"common","common"
"the moldy peaches","the moldy peaches"
"biz markie","biz markie"
"dinosaur jr","dinosaur jr"
"die antwoord","die antwoord"
"danny brown","danny brown"
"the civil wars","the civil wars"
"olly murs","olly murs"
"wasp","wasp"
"rael","rael"
"alborosie","alborosie"
"jay sean","jay sean"
"4minute","4minute"
"naughty by nature","naughty by nature"
"my bloody valentine","my bloody valentine"
"real mccoy","real mccoy"
"morrissey","morrissey"
"mandy moore","mandy moore"
"anita ward","anita ward"
"sepultura","sepultura"
"marcos valle","marcos valle"
